rank,feature_index,target_label,target_subtype,target_n,other_n,target_mean,other_mean,target_minus_others,specificity_z,p_value,fdr,feature_name,gene_symbol,entrez_id
112,763,2,HER2-enriched,46,829,0.5712859778749265,0.535799395602072,0.035486582272854506,0.6049654578693863,,,RNF145|153830,RNF145,153830
113,172,2,HER2-enriched,46,829,0.5149489672665307,0.4485288737614844,0.0664200935050463,0.6026131830838029,,,CDC20|991,CDC20,991
114,133,2,HER2-enriched,46,829,0.45036391473547566,0.4305196213599712,0.019844293375504474,0.6020264030951388,,,C9orf30|91283,C9ORF30,91283
115,483,2,HER2-enriched,46,829,0.48993514344376404,0.42590493313358757,0.06403021031017647,0.6009851371024949,,,KIF2C|11004,KIF2C,11004
116,384,2,HER2-enriched,46,829,0.46475700414847415,0.42021196066918337,0.04454504347929078,0.6009110829786978,,,GINS1|9837,GINS1,9837
117,312,2,HER2-enriched,46,829,0.43240213770878805,0.3659605836424359,0.06644155406635216,0.6002658965361973,,,EXO1|9156,EXO1,9156
118,939,2,HER2-enriched,46,829,0.44205416136904757,0.38314109886351444,0.05891306250553313,0.5980747516595238,,,TTK|7272,TTK,7272
119,867,2,HER2-enriched,46,829,0.43901498808123385,0.41331091695914723,0.025704071122086614,0.5961718106001201,,,SUV39H2|79723,SUV39H2,79723
120,709,2,HER2-enriched,46,829,0.4977470893734064,0.4739232940345069,0.0238237953388995,0.5949860147821555,,,PSMG1|8624,PSMG1,8624
121,597,2,HER2-enriched,46,829,0.4796983905951423,0.4246858757879042,0.05501251480723812,0.5935351496617448,,,NCAPG|64151,NCAPG,64151
122,958,2,HER2-enriched,46,829,0.24716421635327634,0.19367835749268186,0.05348585886059448,0.5908261064185305,,,ULBP3|79465,ULBP3,79465
123,636,2,HER2-enriched,46,829,0.3484868765579217,0.29922963106756245,0.04925724549035926,0.5897773676818535,,,OIP5|11339,OIP5,11339
124,140,2,HER2-enriched,46,829,0.24839630740068894,0.15029365753904428,0.09810264986164466,0.5880689206618412,,,CA9|768,CA9,768
125,180,2,HER2-enriched,46,829,0.49301877373056646,0.4400441413732977,0.052974632357268736,0.5865198009580141,,,CDCA5|113130,CDCA5,113130
126,635,2,HER2-enriched,46,829,0.5689383244626169,0.5384584021770293,0.030479922285587602,0.5862343345971445,,,ODC1|4953,ODC1,4953
127,956,2,HER2-enriched,46,829,0.24164239507507929,0.18517464052380053,0.056467754551278754,0.5831904846434726,,,ULBP1|80329,ULBP1,80329
128,195,2,HER2-enriched,46,829,0.47272674823864436,0.41290460207658186,0.059822146162062495,0.5830829262631028,,,CEP55|55165,CEP55,55165
129,80,2,HER2-enriched,46,829,0.4820172841573335,0.41995315311362164,0.06206413104371189,0.5826881275400853,,,BUB1|699,BUB1,699
130,834,2,HER2-enriched,46,829,0.5991409026241229,0.5431137183622113,0.056027184261911556,0.5823948225873435,,,SLC7A5|8140,SLC7A5,8140
131,194,2,HER2-enriched,46,829,0.4197142467419889,0.3799115476628836,0.039802699079105275,0.58086498058331,,,CENPW|387103,CENPW,387103
132,323,2,HER2-enriched,46,829,0.5432501025470253,0.5250021679917632,0.01824793455526208,0.5807042531496324,,,FAM136A|84908,FAM136A,84908
133,907,2,HER2-enriched,46,829,0.44853689986166956,0.42342852990150837,0.025108369960161192,0.5728430582516649,,,TMEM206|55248,TMEM206,55248
134,290,2,HER2-enriched,46,829,0.4767179350930254,0.42861875187424847,0.04809918321877693,0.5711595379789961,,,E2F1|1869,E2F1,1869
135,926,2,HER2-enriched,46,829,0.46762359436501355,0.4231168219539125,0.04450677241110107,0.5704792635086235,,,TRIP13|9319,TRIP13,9319
136,291,2,HER2-enriched,46,829,0.41152819087162873,0.3616929472342364,0.049835243637392335,0.5695507119574669,,,E2F2|1870,E2F2,1870
137,314,2,HER2-enriched,46,829,0.4859536432471197,0.44405392402207544,0.04189971922504426,0.5693009464021123,,,EZH2|2146,EZH2,2146
138,163,2,HER2-enriched,46,829,0.545188052321608,0.5043491132249315,0.040838939096676574,0.5680221428450155,,,CCNB1|891,CCNB1,891
139,950,2,HER2-enriched,46,829,0.4757826429891142,0.4240444818370466,0.051738161152067585,0.5644521529757555,,,UBE2T|29089,UBE2T,29089
140,350,2,HER2-enriched,46,829,0.5375532698592526,0.5090119932331933,0.02854127662605921,0.5626814001796265,,,FEN1|2237,FEN1,2237
141,264,2,HER2-enriched,46,829,0.4283253007652752,0.3712431277973297,0.05708217296794549,0.5619723020467255,,,DEPDC1|55635,DEPDC1,55635
142,90,2,HER2-enriched,46,829,0.3960435178080491,0.36410225326171414,0.031941264546334946,0.5614554213880176,,,C12orf48|55010,C12ORF48,55010
143,297,2,HER2-enriched,46,829,0.45132776899798566,0.42303392769757375,0.028293841300411904,0.5610506052597259,,,EIF2C2|27161,EIF2C2,27161
144,131,2,HER2-enriched,46,829,0.516295270788343,0.44321793086018735,0.07307733992815568,0.559921894683359,,,C9orf152|401546,C9ORF152,401546
145,910,2,HER2-enriched,46,829,0.5369046309702388,0.5143179074664608,0.022586723503777995,0.5586903613794758,,,TMEM62|80021,TMEM62,80021
146,674,2,HER2-enriched,46,829,0.49376464668964576,0.435277282703867,0.05848736398577875,0.5584168219983389,,,PLK1|5347,PLK1,5347
147,803,2,HER2-enriched,46,829,0.44446021449132717,0.4161188727326143,0.02834134175871289,0.5580104052004502,,,SGOL2|151246,SGOL2,151246
148,355,2,HER2-enriched,46,829,0.4773955870002647,0.4522364819725081,0.02515910502775659,0.5575738161463937,,,FLJ36031|168455,FLJ36031,168455
149,23,2,HER2-enriched,46,829,0.2864372566926422,0.23619544624488478,0.05024181044775741,0.5538434508174654,,,AKR1E2|83592,AKR1E2,83592
150,561,2,HER2-enriched,46,829,0.45654889665697634,0.39242579598603755,0.06412310067093879,0.553670174113626,,,MELK|9833,MELK,9833
151,414,2,HER2-enriched,46,829,0.42262680079878207,0.3707196095870575,0.051907191211724546,0.5507036206979867,,,GTSE1|51512,GTSE1,51512
152,537,2,HER2-enriched,46,829,0.4751420332692747,0.43750239827259135,0.037639634996683324,0.5486254489325414,,,MAD2L1|4085,MAD2L1,4085
153,484,2,HER2-enriched,46,829,0.4844679776826933,0.4184958589634861,0.06597211871920716,0.5465978729766354,,,KIF4A|24137,KIF4A,24137
154,932,2,HER2-enriched,46,829,0.6214329596717372,0.5914033463123144,0.03002961335942278,0.545867409384268,,,TSPAN15|23555,TSPAN15,23555
155,423,2,HER2-enriched,46,829,0.6095786334977074,0.5767380917550173,0.03284054174269002,0.5455835222940448,,,HMGA1|3159,HMGA1,3159
156,776,2,HER2-enriched,46,829,0.18424756529036687,0.1095594471196906,0.07468811817067628,0.5432768667410474,,,SBSN|374897,SBSN,374897
157,474,2,HER2-enriched,46,829,0.5195866072698215,0.4773160461818926,0.042270561087928926,0.542396048601054,,,KIF11|3832,KIF11,3832
158,56,2,HER2-enriched,46,829,0.38480760420080345,0.3484886846389052,0.036318919561898255,0.5418821090063946,,,ATP6V1C2|245973,ATP6V1C2,245973
159,886,2,HER2-enriched,46,829,0.5122715721109543,0.48534038348162933,0.026931188629324976,0.5417654114711608,,,TCF19|6941,TCF19,6941
160,453,2,HER2-enriched,46,829,0.6351297118801328,0.6197426990422849,0.015387012837847935,0.5406711862088149,,,KARS|3735,KARS,3735
161,237,2,HER2-enriched,46,829,0.6461251414366664,0.6202836050643329,0.02584153637233355,0.5402204158050918,,,CSTB|1476,CSTB,1476
162,479,2,HER2-enriched,46,829,0.39689230712149276,0.35097149387337534,0.04592081324811742,0.539601527963523,,,KIF18A|81930,KIF18A,81930
163,811,2,HER2-enriched,46,829,0.41886796664357917,0.39052521634403536,0.028342750299543806,0.5379199282059716,,,SKP2|6502,SKP2,6502
164,613,2,HER2-enriched,46,829,0.5882367540425395,0.5723864158979123,0.01585033814462722,0.5372500381333659,,,NOP58|51602,NOP58,51602
165,263,2,HER2-enriched,46,829,0.37001372264336607,0.31810419130977174,0.05190953133359433,0.5367587654507711,,,DEPDC1B|55789,DEPDC1B,55789
166,182,2,HER2-enriched,46,829,0.47175430056055706,0.42566897586877217,0.04608532469178489,0.5348661951528656,,,CDCA8|55143,CDCA8,55143
167,191,2,HER2-enriched,46,829,0.42788016362081727,0.4034705951088575,0.024409568511959745,0.5334870167826063,,,CENPL|91687,CENPL,91687
168,596,2,HER2-enriched,46,829,0.5180411079944257,0.49391648953429673,0.024124618460128977,0.5331408272054452,,,NCAPG2|54892,NCAPG2,54892
169,189,2,HER2-enriched,46,829,0.4579156653763003,0.41219095399683614,0.045724711379464156,0.5321144407340098,,,CENPE|1062,CENPE,1062
170,181,2,HER2-enriched,46,829,0.40202849165930904,0.3465077044230713,0.05552078723623771,0.5290505962682476,,,CDCA7|83879,CDCA7,83879
171,410,2,HER2-enriched,46,829,0.31766657528642883,0.2810363252187756,0.03663025006765325,0.5285704148642928,,,GSG2|83903,GSG2,83903
172,95,2,HER2-enriched,46,829,0.4687249748523373,0.44512749055620204,0.02359748429613523,0.5281616601804688,,,C15orf23|90417,C15ORF23,90417
173,481,2,HER2-enriched,46,829,0.4879132320836488,0.42829376041435946,0.059619471669289326,0.526305501549029,,,KIF20A|10112,KIF20A,10112
174,948,2,HER2-enriched,46,829,0.501884833896712,0.4365854222661163,0.06529941163059572,0.5245794446758656,,,UBE2C|11065,UBE2C,11065
175,472,2,HER2-enriched,46,829,0.41917184497323867,0.38187608860469296,0.03729575636854571,0.5240699798014387,,,KIAA1524|57650,KIAA1524,57650
176,398,2,HER2-enriched,46,829,0.5441652271118018,0.5325391056547552,0.011626121457046668,0.5218252884261152,,,GPN1|11321,GPN1,11321
177,722,2,HER2-enriched,46,829,0.5384237076158116,0.5085605699361609,0.029863137679650653,0.5194919679900901,,,RACGAP1|29127,RACGAP1,29127
178,979,2,HER2-enriched,46,829,0.6016903920007265,0.5861589399189294,0.01553145208179707,0.5174880873694859,,,YARS|8565,YARS,8565
179,919,2,HER2-enriched,46,829,0.563812774144524,0.5115727865722135,0.05223998757231052,0.5165730368031005,,,TPX2|22974,TPX2,22974
180,92,2,HER2-enriched,46,829,0.41291725792405914,0.3933218377273103,0.01959542019674887,0.5134218517718883,,,C13orf27|93081,C13ORF27,93081
181,199,2,HER2-enriched,46,829,0.4665853384895628,0.4395853788573851,0.026999959632177717,0.5132825623879222,,,CHAF1B|8208,CHAF1B,8208
182,731,2,HER2-enriched,46,829,0.5513781226861905,0.5329795415922627,0.01839858109392778,0.5126669256534736,,,RANBP1|5902,RANBP1,5902
183,732,2,HER2-enriched,46,829,0.6630099564317474,0.6474476268469801,0.015562329584767332,0.512291303275026,,,RAN|5901,RAN,5901
184,101,2,HER2-enriched,46,829,0.6359239993557795,0.5988252696440713,0.037098729711708134,0.5120237644805977,,,C17orf28|283987,C17ORF28,283987
185,477,2,HER2-enriched,46,829,0.4159042962785558,0.3685331783270671,0.047371117951488684,0.5081485738093654,,,KIF15|56992,KIF15,56992
186,476,2,HER2-enriched,46,829,0.40687787831628064,0.349143107868483,0.05773477044779762,0.5074143782246046,,,KIF14|9928,KIF14,9928
187,341,2,HER2-enriched,46,829,0.43328299440592216,0.3929052503799024,0.040377744026019735,0.5059801253267188,,,FANCA|2175,FANCA,2175
188,342,2,HER2-enriched,46,829,0.2676401376266804,0.23834504050479313,0.029295097121887242,0.505128678635043,,,FANCB|2187,FANCB,2187
189,927,2,HER2-enriched,46,829,0.4268193411071807,0.3691935331180181,0.057625807989162614,0.5022309226727477,,,TROAP|10024,TROAP,10024
190,807,2,HER2-enriched,46,829,0.5276616891716939,0.48068182577202573,0.04697986339966814,0.5022206035974217,,,SIDT1|54847,SIDT1,54847
191,761,2,HER2-enriched,46,829,0.4643671734706323,0.4174552654430426,0.046911908027589655,0.502028857896985,,,RND1|27289,RND1,27289
192,377,2,HER2-enriched,46,829,0.5873316061068717,0.5729716598817625,0.014359946225109277,0.5017990480739352,,,GART|2618,GART,2618
193,60,2,HER2-enriched,46,829,0.4128235886929542,0.35604491456616216,0.05677867412679205,0.501443631756613,,,AURKB|9212,AURKB,9212
194,74,2,HER2-enriched,46,829,0.4627831657318728,0.40208463210514217,0.06069853362673061,0.500510442896024,,,BIRC5|332,BIRC5,332
195,265,2,HER2-enriched,46,829,0.39974815216044385,0.35802814112134146,0.04172001103910239,0.5001750635620799,,,DIAPH3|81624,DIAPH3,81624
196,308,2,HER2-enriched,46,829,0.7030358274344294,0.6831332313535948,0.019902596080834556,0.4999856057455216,,,ERGIC1|57222,ERGIC1,57222
197,669,2,HER2-enriched,46,829,0.5876708151951512,0.5431874831450688,0.04448333205008237,0.49782962554848875,,,PHGDH|26227,PHGDH,26227
198,579,2,HER2-enriched,46,829,0.5278195740120148,0.5108403992582327,0.01697917475378219,0.49720174465900335,,,MRPL47|57129,MRPL47,57129
199,849,2,HER2-enriched,46,829,0.6504833269338288,0.5746638395031324,0.07581948743069644,0.493279400009187,,,SPDEF|25803,SPDEF,25803
