projection_1,projection_2,projection_method,subtype_id,subtype,Luminal subtype signature,HER2-enriched subtype signature,Basal-like subtype signature
-6.258531,0.3305912,PCA,3,Basal-like,-0.8416604355164834,-0.14148873701366882,0.5928831028355411
1.7505101,-4.097842,PCA,3,Basal-like,0.42334489836996575,-0.5447286768051198,-0.6353532147461803
21.656097,1.1720247,PCA,1,Luminal B,2.06860653998277,-0.009769765921694762,-1.8387723392253432
21.49218,1.2818675,PCA,1,Luminal B,1.4291768696991498,1.037034177310994,-1.7807327249851803
-6.8868523,3.6756644,PCA,3,Basal-like,-1.0869727130878735,-0.47864209197602114,1.0035406066126435
20.012438,2.07733,PCA,1,Luminal B,1.4697063666522607,0.5248453376332847,-1.6833508101878865
-5.7663665,-2.7331882,PCA,3,Basal-like,-0.33469021460067483,0.022415841959649324,0.3950225977079051
-2.340964,-4.7736197,PCA,3,Basal-like,-0.23689248056371576,-1.0300045105398181,-0.9092377640880283
-7.6256576,0.6790395,PCA,3,Basal-like,-0.661119428173017,-0.6958802764392662,0.8221399948503588
-6.1671076,3.0143714,PCA,3,Basal-like,-0.735454240488234,0.04069655683989307,0.9294413844160804
-5.534901,-4.1728497,PCA,3,Basal-like,-0.8707613001906005,-0.5557673034847109,1.0376639288592973
0.559129,-4.764853,PCA,1,Luminal B,0.702963658015044,-0.2993582661166934,-0.054118137259304026
-5.5626016,-4.180604,PCA,3,Basal-like,0.09354378958057233,-0.04238019806973131,0.9492622765209802
-4.295044,-4.5055237,PCA,3,Basal-like,-0.5148979182845922,-0.229265773408254,0.41367703315539617
-4.935032,13.492603,PCA,4,Normal-like,-0.7714449882333622,0.3588535233015753,0.12231984826833653
-3.51084,-4.078163,PCA,3,Basal-like,0.1653790191349688,-0.4506138875482788,0.9897297076176743
-5.221092,11.7953415,PCA,4,Normal-like,-0.8304932514354462,0.23307007170727106,0.24035580876452536
-7.0433125,-1.3531723,PCA,3,Basal-like,-1.233596093299656,-0.7339398754837517,-0.07112055129983388
-5.8223457,-2.9778166,PCA,3,Basal-like,-0.8524180464416667,-0.37935123420807615,0.8062582537656642
5.562089,-3.757306,PCA,0,Luminal A,1.2225876111146905,0.1366576938670968,-0.6349307006209299
-7.559391,5.009933,PCA,4,Normal-like,-1.1392625934652514,-0.6369991410656863,0.7190089242214561
-5.3966045,10.8101845,PCA,4,Normal-like,-1.101466936544465,0.11689522961277594,-0.23945120240241718
-6.933065,-1.6875398,PCA,3,Basal-like,-1.2613200710740877,-1.0056810585130156,0.32731650470616364
16.865202,1.0919456,PCA,1,Luminal B,0.6164128777377118,1.2231431469502811,-1.2567203626792622
-5.440832,-4.5526342,PCA,3,Basal-like,-0.22313494055194474,-0.4259820639293015,0.7823959581694416
-7.217102,6.341326,PCA,4,Normal-like,-1.0201818947515384,-0.8292916602864817,-0.0283394792202927
-4.7648273,-4.826414,PCA,3,Basal-like,-0.009961001928664379,-0.7779179628557745,0.4828391629354352
-8.198586,12.751057,PCA,4,Normal-like,-0.899217380175279,-0.18975988119347365,0.5655563336002134
-4.925183,-4.888195,PCA,3,Basal-like,-0.2136760171374883,0.1163140101906309,0.9429266434239375
0.95685005,-4.630542,PCA,0,Luminal A,0.8616406696899784,-0.16912372255588465,-0.06595140752502804
-6.368945,1.5719633,PCA,3,Basal-like,-0.35350839135443923,-0.2149069783155636,0.5058013057354144
-4.611018,8.995871,PCA,4,Normal-like,-0.9179564780322113,0.7265942615358486,0.07420369252797779
-4.2734194,-4.319254,PCA,3,Basal-like,-0.12209675943032086,-0.3190749016496094,0.49330618851130614
-6.220169,2.9648423,PCA,3,Basal-like,-1.1635567628755383,-0.0787997874312043,1.0663562063164163
-7.708538,1.4691806,PCA,3,Basal-like,-1.318914258486326,-0.6592491871547821,0.8739863051423742
30.149475,5.8525205,PCA,1,Luminal B,1.304350397773474,1.321062636374721,-1.5575545817965493
22.639801,3.6094375,PCA,1,Luminal B,1.2282596637114396,1.5778595855934845,-1.5684761321029763
18.162521,0.021701813,PCA,1,Luminal B,1.7448752833655654,1.6892333979081187,-1.1562331712773244
-5.650742,-3.4891708,PCA,3,Basal-like,-0.461340217291494,-0.6535389245639838,0.3760285079653337
-5.0149536,-3.7511451,PCA,3,Basal-like,-0.3832483842216493,-0.21818783024776725,0.7589292844520653
-3.5099561,-3.0701022,PCA,3,Basal-like,-0.0760051691516077,0.034210315117755324,0.4624429425611141
-6.6262083,-0.67286825,PCA,3,Basal-like,-0.44738366145125935,-0.2842991579127672,0.9541940345952716
-5.639421,-2.1034794,PCA,3,Basal-like,-0.3975048797938019,-0.28461301639505526,0.32795279624300266
0.51791584,-5.159582,PCA,3,Basal-like,1.2590892650074648,1.836239082665756e-05,-0.515807607893243
-6.821649,-1.0924711,PCA,3,Basal-like,-0.8921017494918452,-0.23614454770241106,0.9116742343587816
1.6559612,-4.6533394,PCA,0,Luminal A,0.9507800502246314,-0.24143887135137823,-0.04539059372794173
-6.726284,-1.3774486,PCA,3,Basal-like,-0.9227311098575572,-0.2637175083323986,0.6822861723945038
-6.907473,4.4048066,PCA,3,Basal-like,-1.2627716694316184,-0.11945222316957652,0.8426391000803184
-5.0932584,-4.5368714,PCA,3,Basal-like,-0.21885751378592655,-0.8043733529705748,0.7904600469544335
-7.1841154,5.0832305,PCA,4,Normal-like,-1.1078600699995824,-0.23193780902115002,0.8423455110371455
25.271713,2.4388704,PCA,1,Luminal B,1.5447507518367387,1.3198613245387323,-1.2617572539144648
-3.709381,-5.849706,PCA,3,Basal-like,0.4072502106792516,-0.2680011650993013,0.59228824692366
-3.8386621,-4.665448,PCA,3,Basal-like,0.35029951983319796,-0.1975153732662763,0.8772630897291644
-2.356709,-5.4080024,PCA,3,Basal-like,-0.017099794506319682,-0.8537223260126365,-0.642792852128323
-5.865141,-3.6774607,PCA,3,Basal-like,-0.44148379635790436,-0.5446986530313414,1.0247334191383064
-3.5426629,5.7371144,PCA,4,Normal-like,-0.4765447282821995,0.12021437025137599,-0.020321846881401873
-7.0304694,-1.3888083,PCA,3,Basal-like,-0.8971697134286988,-0.9774720259130752,0.7254942856939931
-8.75825,7.776012,PCA,3,Basal-like,-1.0419516892935536,-0.35076444333818785,1.0002668412287743
-4.925512,-4.3361044,PCA,3,Basal-like,-0.07898472976658087,-0.35851644719028536,0.6354029096128869
-4.5918446,10.081829,PCA,4,Normal-like,-0.3676801085140021,0.12643863464324004,-0.2476345877383674
0.8822415,-4.569912,PCA,0,Luminal A,1.0064545331563581,-0.3680685579521369,-0.4095063285918785
2.5245883,9.470747,PCA,2,HER2-enriched,-0.702224468006197,1.0735989107003194,-0.18209269744226733
-4.9347806,-2.8777413,PCA,3,Basal-like,-0.1697105722436453,-0.07342701398755325,0.8611771573497683
