projection_1,projection_2,projection_method,subtype_id,subtype,Normal-like signature,Basal-like signature,Luminal subtype signature,HER2-enriched subtype signature
-7.3460693,11.793713,PCA,4,Luminal B,-0.6991631248314115,-0.4809868600968321,0.9674600279672887,-0.5789723997802465
0.36173144,-4.72875,PCA,4,Luminal B,1.635095304941015,-0.046205559656004105,-0.5414519695262862,-0.3730175808338215
2.6361644,-2.213031,PCA,3,Luminal A,-0.17625167585102597,-0.46185614879201253,-1.4389764839887618,1.5175067385626897
-6.072165,5.0636888,PCA,3,Luminal A,-0.45401381041773814,-0.47906568332122235,-0.01537819397339477,0.056500502016719786
-7.325686,2.3240142,PCA,3,Luminal A,-2.014680651013171,-0.6619672783258135,0.8609440033584975,-0.8620420964388139
-5.158157,0.30298758,PCA,3,Luminal A,-0.3037641416256597,-0.3243479143630664,0.3832918817931365,0.5003683570876073
1.9437071,-4.069688,PCA,0,Normal-like,1.4641388912090287,-0.061934812824372146,-0.09160209523239973,-0.30756298806009513
-5.4236956,-4.004614,PCA,3,Luminal A,0.024893928133879886,-0.3787159509358309,0.6487657619706488,-0.23076122430565682
22.43272,2.1212149,PCA,1,Basal-like,-1.1424693972892492,2.704313990975294,-1.8722046124947374,1.3370667494807065
-6.041708,-2.7564297,PCA,3,Luminal A,-0.03933764537675572,-0.3157411880645193,0.7169469530906484,-0.3996656506858554
-6.9309278,9.076363,PCA,4,Luminal B,-0.9920594275995855,-0.5448460282893625,1.006651325504551,-0.4570347156248615
0.012521505,-4.8050594,PCA,4,Luminal B,1.3827238548082479,-0.09330492861563117,-0.4749974843191066,0.0031206327330693673
-5.1083784,-3.4144208,PCA,3,Luminal A,-0.19661985709786822,-0.18733306778097236,0.2085597688352512,-0.32072157109641386
-4.8664856,-3.9428859,PCA,3,Luminal A,-0.23299763254606767,-0.47424745576827765,0.025947027255249916,-0.32551134104775925
-0.35448524,-4.7328577,PCA,3,Luminal A,0.7763732023513938,-0.2739411616778893,-0.7761306829429734,-0.6070622340778602
-4.6324983,1.1433296,PCA,3,Luminal A,-0.4750898773261353,-0.043576308667432145,0.020849076277288887,0.04517102029667945
-7.4183345,5.5814786,PCA,4,Luminal B,-1.2307550084687302,-0.22854974343754106,0.9272227509112387,-0.08807484981439118
23.197681,2.1183481,PCA,1,Basal-like,-0.8675395735876399,2.2040035154182678,-1.700084053857353,1.1504028118204725
-7.2947297,4.6346297,PCA,3,Luminal A,-0.6885044531122133,-0.6886417164498927,1.1920929979266714,-0.8800596059250156
1.8949598,-4.3726926,PCA,0,Normal-like,1.2066252621937366,-0.417972474956244,-0.324035362890314,-0.3643272112179019
7.5986457,6.8027425,PCA,2,HER2-enriched,-1.2377006420685264,-0.15131154599526478,-1.1960091622116684,2.1738852675012543
0.109098464,-4.9930024,PCA,4,Luminal B,1.632894304619374,-0.07411245292450261,-0.5716124505530664,-0.1786045638608978
-0.89600503,-3.7478142,PCA,3,Luminal A,0.41677507732466545,-0.08315745154018772,0.37914826764715903,0.08434551525872795
1.8042642,-4.8812213,PCA,0,Normal-like,1.4849799937905352,0.15693468380385772,-0.05154710285959305,-0.25110995745142445
-7.307159,6.054807,PCA,4,Luminal B,-1.3944534031451472,-0.7400985187717676,0.5793684789763122,-0.5640851783677756
3.8156495,-3.82472,PCA,0,Normal-like,1.4431697177382476,-0.06250682214565181,-0.6669891973444734,-0.33918694723657383
-6.380958,0.78216505,PCA,3,Luminal A,-0.16354070161827852,-0.568281586630886,0.5218093429109215,0.1971513408646218
-1.1310962,-5.747055,PCA,3,Luminal A,1.3709194275031304,0.01706162333607397,-0.07554742180635367,-0.198045463521268
-6.3174014,8.403963,PCA,4,Luminal B,-0.4731323642127653,-0.26831686168573254,0.7072684980632812,-0.060573185362684606
2.7537007,0.68143463,PCA,2,HER2-enriched,-0.141099326193744,0.0576439224703672,-0.7207554910335098,0.3920953693342188
1.4788768,-4.2154517,PCA,0,Normal-like,1.3047464704731708,-0.2054729016597653,0.11335119417235684,-0.569550589386976
-4.412875,-6.0028076,PCA,3,Luminal A,0.8936354543191153,-0.256529094086449,0.453753833053603,-0.3389409184203811
-0.66584,-5.6524396,PCA,3,Luminal A,0.7850707951388962,-0.3180159217745878,-0.803584216032798,-0.7265069371796291
2.27161,-3.1791337,PCA,0,Normal-like,0.7298319319771047,-0.11093325647958407,0.02830311193128992,0.07036407206281245
-1.9343417,-6.067355,PCA,3,Luminal A,1.5719687637563045,-0.016990017761296536,0.19015692056923703,-0.2495298275942831
8.811236,9.062571,PCA,2,HER2-enriched,-0.1592759438803583,0.25392577794202953,-1.1582617626019003,1.8592888942703845
-7.759109,-0.4519143,PCA,3,Luminal A,-0.6400626509681281,-0.49356403797412063,1.0300354082480245,-1.1110330148518672
2.1011906,-4.0907536,PCA,0,Normal-like,1.2118522622389842,0.09055765582866049,0.00190450538891547,-0.2993582661166934
29.075672,4.023586,PCA,1,Basal-like,0.313772558644491,2.336570918305707,-1.6696370637995785,1.118135066215231
-7.981413,3.7682052,PCA,3,Luminal A,-1.5297678355699704,-0.6590590239040395,1.1734261461581927,-1.3942993034467108
11.894445,-2.1237116,PCA,0,Normal-like,0.49114621102355327,1.9795100924390514,-0.962992235241886,0.088640714069625
2.294462,-4.0072594,PCA,0,Normal-like,1.5252986123495291,-0.17239497110974333,-0.5042500461295816,-0.06131438620078307
8.4614315,5.4336886,PCA,2,HER2-enriched,-0.8981396841591591,0.4961177902921039,-0.9978949288921444,1.9037467535265407
-4.573855,-5.3116474,PCA,3,Luminal A,0.518185144016086,-0.3567432973030602,0.5895358825267611,-0.6746026175665927
-7.2794237,-0.23718643,PCA,3,Luminal A,-0.44554664747241607,-0.4567000271006133,0.8178945256299632,-0.18624486736135054
-0.26060697,-4.6161466,PCA,0,Normal-like,0.79089613616537,-0.3572211859508633,-1.5521164303494597,-0.5503656825903248
-7.316287,2.4341927,PCA,3,Luminal A,-1.1591563230200714,-0.2018793818993807,0.8287285055489889,-0.8235659603173463
-7.3572745,1.2404408,PCA,3,Luminal A,-1.1076087569807875,-0.3374355845402595,0.6878890044878299,-0.21549162649625467
-8.215215,2.7498708,PCA,3,Luminal A,-1.0743257967451645,-0.7562227615075263,1.0896181120502082,-0.5208225372520844
-7.3954396,0.5408478,PCA,3,Luminal A,-0.5215226110934581,-0.47619121915017915,0.6677691932765917,-0.30187020346633153
22.355259,1.689218,PCA,1,Basal-like,0.07332175817504644,1.9851129618281993,-2.034731555497311,1.5537676802232683
-6.984316,-1.4638288,PCA,3,Luminal A,-0.4636853546502083,-0.568631761183945,0.6086636540542751,-0.46122631038237955
1.1147933,-4.506664,PCA,0,Normal-like,1.4122592434159067,0.12701294766889068,-0.2576906150569178,-0.2847307122403867
-6.955648,-1.3615975,PCA,3,Luminal A,-0.7466620967699981,-0.47995455625472544,0.969402915005916,-0.6185978032072478
-6.0486817,-2.116422,PCA,3,Luminal A,-0.7417518546200739,-0.7224647715593646,0.5209144878390456,-0.5159297715993068
2.607703,-4.230501,PCA,0,Normal-like,1.7694060271175156,0.062318719883515485,-0.39723130131193723,1.836239082665756e-05
-1.436113,-4.5946198,PCA,4,Luminal B,0.966016425269394,-0.250388841564544,-1.110602744466793,-0.9522992327363962
20.772848,1.1418085,PCA,1,Basal-like,-0.3915278692746558,2.767477239021462,-1.1656977092618,2.0464002773304095
-4.5711756,11.847548,PCA,4,Luminal B,-0.823252680897977,-0.39859349704086744,0.4381030345189043,0.11621089104563367
23.745197,3.094585,PCA,1,Basal-like,-0.5654427744314012,2.0648438926568553,-1.7416448890272778,1.5830354865128515
-2.0413473,-5.7710443,PCA,3,Luminal A,-0.1006642147114673,0.48143258621227925,-2.097469911666776,-1.1190817923845868
-7.306933,0.7044096,PCA,3,Luminal A,-0.3084677719486426,-0.6543726970342868,0.8057457027508592,-0.6793148432506445
-4.351098,-2.0917552,PCA,3,Luminal A,0.30075488038417825,-0.48062411255678694,0.9099569150894922,-0.6584232232898798
-6.355137,6.6199727,PCA,4,Luminal B,-0.9096553179776913,-0.5401243387360157,0.9726252664382409,-0.6488011062019684
-0.8069712,-5.464971,PCA,3,Luminal A,1.5918126242563015,-0.09593070735206118,0.21857104475468903,-0.16893741719631628
-5.49895,10.782763,PCA,4,Luminal B,-0.9024781562126594,-0.36320144370185975,0.2714446458951249,0.09015777946481987
22.623873,2.0903401,PCA,1,Basal-like,-0.6346277252298789,2.1823817438121944,-1.2230094350929879,1.5166329808957641
4.478596,-2.5696647,PCA,0,Normal-like,0.9015650646871091,0.3973948116841889,-0.3340220892456405,1.158919667008802
27.783188,3.6159196,PCA,1,Basal-like,-0.3533803303377457,2.453311186259744,-1.193867155369789,0.9527502270923586
-7.980256,2.3216262,PCA,3,Luminal A,-0.5665575618125533,-0.4376282221550029,0.918062947757855,-0.5786227759675098
-5.482742,-1.8751948,PCA,3,Luminal A,-0.3692727251476803,-0.2053724921107868,0.3356029386869948,-0.33049496544741097
14.538519,-1.3366423,PCA,1,Basal-like,0.28714766966923067,1.7804810738052645,-0.6297504241967883,1.013794109900561
-6.9177814,10.045883,PCA,4,Luminal B,-1.7954588009997103,-0.8962873871176066,0.8813224337923194,-0.6925571590207478
-7.516818,11.570644,PCA,3,Luminal A,-0.6822946660107486,-0.67456006938803,0.6219494543954093,-0.05092696324218286
