pathName,Hit Ratio,Pvalue,metabolit,count,Term,Category,LogP,FDR_qvalue
mitotic cell cycle process,0.04573804573804574,2.967767218017637e-19,CCNE1,22,GO:1903047,GO Biological Processes,-18.5275701667,1.3082434372603623e-15
mitotic cell cycle process,0.04573804573804574,2.967767218017637e-19,CDC6,22,GO:1903047,GO Biological Processes,-18.5275701667,1.3082434372603623e-15
mitotic cell cycle process,0.04573804573804574,2.967767218017637e-19,CDC25A,22,GO:1903047,GO Biological Processes,-18.5275701667,1.3082434372603623e-15
mitotic cell cycle process,0.04573804573804574,2.967767218017637e-19,CDC25B,22,GO:1903047,GO Biological Processes,-18.5275701667,1.3082434372603623e-15
mitotic cell cycle process,0.04573804573804574,2.967767218017637e-19,CDKN3,22,GO:1903047,GO Biological Processes,-18.5275701667,1.3082434372603623e-15
mitotic cell cycle process,0.04573804573804574,2.967767218017637e-19,CENPA,22,GO:1903047,GO Biological Processes,-18.5275701667,1.3082434372603623e-15
mitotic cell cycle process,0.04573804573804574,2.967767218017637e-19,CHEK1,22,GO:1903047,GO Biological Processes,-18.5275701667,1.3082434372603623e-15
mitotic cell cycle process,0.04573804573804574,2.967767218017637e-19,MCM6,22,GO:1903047,GO Biological Processes,-18.5275701667,1.3082434372603623e-15
mitotic cell cycle process,0.04573804573804574,2.967767218017637e-19,ORC1,22,GO:1903047,GO Biological Processes,-18.5275701667,1.3082434372603623e-15
mitotic cell cycle process,0.04573804573804574,2.967767218017637e-19,RAD51,22,GO:1903047,GO Biological Processes,-18.5275701667,1.3082434372603623e-15
mitotic cell cycle process,0.04573804573804574,2.967767218017637e-19,STIL,22,GO:1903047,GO Biological Processes,-18.5275701667,1.3082434372603623e-15
mitotic cell cycle process,0.04573804573804574,2.967767218017637e-19,AURKA,22,GO:1903047,GO Biological Processes,-18.5275701667,1.3082434372603623e-15
mitotic cell cycle process,0.04573804573804574,2.967767218017637e-19,CDC45,22,GO:1903047,GO Biological Processes,-18.5275701667,1.3082434372603623e-15
mitotic cell cycle process,0.04573804573804574,2.967767218017637e-19,CCNB2,22,GO:1903047,GO Biological Processes,-18.5275701667,1.3082434372603623e-15
mitotic cell cycle process,0.04573804573804574,2.967767218017637e-19,SPAG5,22,GO:1903047,GO Biological Processes,-18.5275701667,1.3082434372603623e-15
mitotic cell cycle process,0.04573804573804574,2.967767218017637e-19,DBF4,22,GO:1903047,GO Biological Processes,-18.5275701667,1.3082434372603623e-15
mitotic cell cycle process,0.04573804573804574,2.967767218017637e-19,NCAPH,22,GO:1903047,GO Biological Processes,-18.5275701667,1.3082434372603623e-15
mitotic cell cycle process,0.04573804573804574,2.967767218017637e-19,DONSON,22,GO:1903047,GO Biological Processes,-18.5275701667,1.3082434372603623e-15
mitotic cell cycle process,0.04573804573804574,2.967767218017637e-19,ANLN,22,GO:1903047,GO Biological Processes,-18.5275701667,1.3082434372603623e-15
mitotic cell cycle process,0.04573804573804574,2.967767218017637e-19,TICRR,22,GO:1903047,GO Biological Processes,-18.5275701667,1.3082434372603623e-15
mitotic cell cycle process,0.04573804573804574,2.967767218017637e-19,EME1,22,GO:1903047,GO Biological Processes,-18.5275701667,1.3082434372603623e-15
mitotic cell cycle process,0.04573804573804574,2.967767218017637e-19,SKA3,22,GO:1903047,GO Biological Processes,-18.5275701667,1.3082434372603623e-15
DNA replication,0.08133971291866028,3.10997821814982e-19,CDC6,17,GO:0006260,GO Biological Processes,-18.5072426527,1.3082434372603623e-15
DNA replication,0.08133971291866028,3.10997821814982e-19,CHEK1,17,GO:0006260,GO Biological Processes,-18.5072426527,1.3082434372603623e-15
DNA replication,0.08133971291866028,3.10997821814982e-19,MCM6,17,GO:0006260,GO Biological Processes,-18.5072426527,1.3082434372603623e-15
DNA replication,0.08133971291866028,3.10997821814982e-19,ORC1,17,GO:0006260,GO Biological Processes,-18.5072426527,1.3082434372603623e-15
DNA replication,0.08133971291866028,3.10997821814982e-19,RAD51,17,GO:0006260,GO Biological Processes,-18.5072426527,1.3082434372603623e-15
DNA replication,0.08133971291866028,3.10997821814982e-19,RFC2,17,GO:0006260,GO Biological Processes,-18.5072426527,1.3082434372603623e-15
DNA replication,0.08133971291866028,3.10997821814982e-19,CDK2AP1,17,GO:0006260,GO Biological Processes,-18.5072426527,1.3082434372603623e-15
DNA replication,0.08133971291866028,3.10997821814982e-19,CDC45,17,GO:0006260,GO Biological Processes,-18.5072426527,1.3082434372603623e-15
DNA replication,0.08133971291866028,3.10997821814982e-19,POLQ,17,GO:0006260,GO Biological Processes,-18.5072426527,1.3082434372603623e-15
DNA replication,0.08133971291866028,3.10997821814982e-19,DBF4,17,GO:0006260,GO Biological Processes,-18.5072426527,1.3082434372603623e-15
DNA replication,0.08133971291866028,3.10997821814982e-19,ORC6,17,GO:0006260,GO Biological Processes,-18.5072426527,1.3082434372603623e-15
DNA replication,0.08133971291866028,3.10997821814982e-19,DONSON,17,GO:0006260,GO Biological Processes,-18.5072426527,1.3082434372603623e-15
DNA replication,0.08133971291866028,3.10997821814982e-19,MCM10,17,GO:0006260,GO Biological Processes,-18.5072426527,1.3082434372603623e-15
DNA replication,0.08133971291866028,3.10997821814982e-19,GINS3,17,GO:0006260,GO Biological Processes,-18.5072426527,1.3082434372603623e-15
DNA replication,0.08133971291866028,3.10997821814982e-19,TICRR,17,GO:0006260,GO Biological Processes,-18.5072426527,1.3082434372603623e-15
DNA replication,0.08133971291866028,3.10997821814982e-19,EME1,17,GO:0006260,GO Biological Processes,-18.5072426527,1.3082434372603623e-15
DNA replication,0.08133971291866028,3.10997821814982e-19,RNASEH1,17,GO:0006260,GO Biological Processes,-18.5072426527,1.3082434372603623e-15
Cell Cycle Checkpoints,0.06164383561643835,3.748143726394849e-18,CCNE1,18,R-HSA-69620,Reactome Gene Sets,-17.426183764,1.3139117834453179e-14
Cell Cycle Checkpoints,0.06164383561643835,3.748143726394849e-18,CDC6,18,R-HSA-69620,Reactome Gene Sets,-17.426183764,1.3139117834453179e-14
Cell Cycle Checkpoints,0.06164383561643835,3.748143726394849e-18,CDC25A,18,R-HSA-69620,Reactome Gene Sets,-17.426183764,1.3139117834453179e-14
Cell Cycle Checkpoints,0.06164383561643835,3.748143726394849e-18,CENPA,18,R-HSA-69620,Reactome Gene Sets,-17.426183764,1.3139117834453179e-14
Cell Cycle Checkpoints,0.06164383561643835,3.748143726394849e-18,CHEK1,18,R-HSA-69620,Reactome Gene Sets,-17.426183764,1.3139117834453179e-14
Cell Cycle Checkpoints,0.06164383561643835,3.748143726394849e-18,MCM6,18,R-HSA-69620,Reactome Gene Sets,-17.426183764,1.3139117834453179e-14
Cell Cycle Checkpoints,0.06164383561643835,3.748143726394849e-18,ORC1,18,R-HSA-69620,Reactome Gene Sets,-17.426183764,1.3139117834453179e-14
Cell Cycle Checkpoints,0.06164383561643835,3.748143726394849e-18,PSMB2,18,R-HSA-69620,Reactome Gene Sets,-17.426183764,1.3139117834453179e-14
Cell Cycle Checkpoints,0.06164383561643835,3.748143726394849e-18,RFC2,18,R-HSA-69620,Reactome Gene Sets,-17.426183764,1.3139117834453179e-14
Cell Cycle Checkpoints,0.06164383561643835,3.748143726394849e-18,CDC45,18,R-HSA-69620,Reactome Gene Sets,-17.426183764,1.3139117834453179e-14
Cell Cycle Checkpoints,0.06164383561643835,3.748143726394849e-18,CCNB2,18,R-HSA-69620,Reactome Gene Sets,-17.426183764,1.3139117834453179e-14
Cell Cycle Checkpoints,0.06164383561643835,3.748143726394849e-18,PSMD14,18,R-HSA-69620,Reactome Gene Sets,-17.426183764,1.3139117834453179e-14
Cell Cycle Checkpoints,0.06164383561643835,3.748143726394849e-18,DBF4,18,R-HSA-69620,Reactome Gene Sets,-17.426183764,1.3139117834453179e-14
Cell Cycle Checkpoints,0.06164383561643835,3.748143726394849e-18,ORC6,18,R-HSA-69620,Reactome Gene Sets,-17.426183764,1.3139117834453179e-14
Cell Cycle Checkpoints,0.06164383561643835,3.748143726394849e-18,MCM10,18,R-HSA-69620,Reactome Gene Sets,-17.426183764,1.3139117834453179e-14
Cell Cycle Checkpoints,0.06164383561643835,3.748143726394849e-18,CENPN,18,R-HSA-69620,Reactome Gene Sets,-17.426183764,1.3139117834453179e-14
Cell Cycle Checkpoints,0.06164383561643835,3.748143726394849e-18,CENPO,18,R-HSA-69620,Reactome Gene Sets,-17.426183764,1.3139117834453179e-14
Cell Cycle Checkpoints,0.06164383561643835,3.748143726394849e-18,SGO1,18,R-HSA-69620,Reactome Gene Sets,-17.426183764,1.3139117834453179e-14
DNA metabolic process,0.034328358208955224,2.293172120762221e-17,CDC6,23,GO:0006259,GO Biological Processes,-16.6395633468,6.890327030581558e-14
DNA metabolic process,0.034328358208955224,2.293172120762221e-17,CHEK1,23,GO:0006259,GO Biological Processes,-16.6395633468,6.890327030581558e-14
DNA metabolic process,0.034328358208955224,2.293172120762221e-17,KPNA2,23,GO:0006259,GO Biological Processes,-16.6395633468,6.890327030581558e-14
DNA metabolic process,0.034328358208955224,2.293172120762221e-17,MCM6,23,GO:0006259,GO Biological Processes,-16.6395633468,6.890327030581558e-14
DNA metabolic process,0.034328358208955224,2.293172120762221e-17,ORC1,23,GO:0006259,GO Biological Processes,-16.6395633468,6.890327030581558e-14
DNA metabolic process,0.034328358208955224,2.293172120762221e-17,PSMB2,23,GO:0006259,GO Biological Processes,-16.6395633468,6.890327030581558e-14
DNA metabolic process,0.034328358208955224,2.293172120762221e-17,RAD51,23,GO:0006259,GO Biological Processes,-16.6395633468,6.890327030581558e-14
DNA metabolic process,0.034328358208955224,2.293172120762221e-17,RFC2,23,GO:0006259,GO Biological Processes,-16.6395633468,6.890327030581558e-14
DNA metabolic process,0.034328358208955224,2.293172120762221e-17,CDK2AP1,23,GO:0006259,GO Biological Processes,-16.6395633468,6.890327030581558e-14
DNA metabolic process,0.034328358208955224,2.293172120762221e-17,CDC45,23,GO:0006259,GO Biological Processes,-16.6395633468,6.890327030581558e-14
DNA metabolic process,0.034328358208955224,2.293172120762221e-17,PSMD14,23,GO:0006259,GO Biological Processes,-16.6395633468,6.890327030581558e-14
DNA metabolic process,0.034328358208955224,2.293172120762221e-17,POLQ,23,GO:0006259,GO Biological Processes,-16.6395633468,6.890327030581558e-14
DNA metabolic process,0.034328358208955224,2.293172120762221e-17,DBF4,23,GO:0006259,GO Biological Processes,-16.6395633468,6.890327030581558e-14
DNA metabolic process,0.034328358208955224,2.293172120762221e-17,PSME4,23,GO:0006259,GO Biological Processes,-16.6395633468,6.890327030581558e-14
DNA metabolic process,0.034328358208955224,2.293172120762221e-17,NCAPH,23,GO:0006259,GO Biological Processes,-16.6395633468,6.890327030581558e-14
DNA metabolic process,0.034328358208955224,2.293172120762221e-17,ORC6,23,GO:0006259,GO Biological Processes,-16.6395633468,6.890327030581558e-14
DNA metabolic process,0.034328358208955224,2.293172120762221e-17,DONSON,23,GO:0006259,GO Biological Processes,-16.6395633468,6.890327030581558e-14
DNA metabolic process,0.034328358208955224,2.293172120762221e-17,NEIL3,23,GO:0006259,GO Biological Processes,-16.6395633468,6.890327030581558e-14
DNA metabolic process,0.034328358208955224,2.293172120762221e-17,MCM10,23,GO:0006259,GO Biological Processes,-16.6395633468,6.890327030581558e-14
DNA metabolic process,0.034328358208955224,2.293172120762221e-17,GINS3,23,GO:0006259,GO Biological Processes,-16.6395633468,6.890327030581558e-14
DNA metabolic process,0.034328358208955224,2.293172120762221e-17,TICRR,23,GO:0006259,GO Biological Processes,-16.6395633468,6.890327030581558e-14
DNA metabolic process,0.034328358208955224,2.293172120762221e-17,EME1,23,GO:0006259,GO Biological Processes,-16.6395633468,6.890327030581558e-14
