feature_index,score,feature_name
41,0.061716173547131055,hsa-mir-125a
378,0.06154072423285312,hsa-mir-509-3
327,0.06059522122729696,hsa-mir-3941
131,0.060578611671201765,hsa-mir-1910
492,0.06034028462054899,hsa-mir-935
248,0.059909183735464715,hsa-mir-329-2
483,0.0596661371829446,hsa-mir-891a
315,0.059222329994460976,hsa-mir-382
247,0.058567847184490665,hsa-mir-329-1
39,0.058344039182022314,hsa-mir-1255a
90,0.058021864315995514,hsa-mir-144
408,0.05789112749159835,hsa-mir-548j
153,0.057439487901243626,hsa-mir-203
223,0.057425189491051444,hsa-mir-3176
429,0.056931278657689995,hsa-mir-582
306,0.05689012368063738,hsa-mir-376a-2
301,0.056667976612927336,hsa-mir-374a
264,0.05631407571622016,hsa-mir-3605
407,0.05611349505810583,hsa-mir-548e
15,0.05600077119748789,hsa-mir-103-1
409,0.05499504756308295,hsa-mir-548k
267,0.05495128577106152,hsa-mir-361
423,0.054924755372708495,hsa-mir-574
221,0.05430417087775322,hsa-mir-3173
9,0.05378133490108358,hsa-let-7g
237,0.053568777097116,hsa-mir-320c-1
376,0.05345059741143706,hsa-mir-509-1
435,0.05326213750343989,hsa-mir-598
216,0.05302690162775488,hsa-mir-3150
410,0.051614958504625406,hsa-mir-548o
74,0.05138660067230668,hsa-mir-132
161,0.05125256353250676,hsa-mir-2110
104,0.050928188891631886,hsa-mir-1537
95,0.050819677048905325,hsa-mir-147b
151,0.05048753325282254,hsa-mir-200c
75,0.050244302784898026,hsa-mir-133a-1
228,0.049520185284550024,hsa-mir-3191
401,0.04890163506252098,hsa-mir-539
377,0.048186178116272065,hsa-mir-509-2
373,0.04785640367694887,hsa-mir-504
183,0.047380732102972514,hsa-mir-23b
105,0.047107146008110896,hsa-mir-1538
113,0.04676841245839279,hsa-mir-181a-1
404,0.04664104236976433,hsa-mir-543
307,0.0466098181146471,hsa-mir-376b
242,0.04630899274355782,hsa-mir-323
170,0.04599873199388267,hsa-mir-218-1
36,0.04581412046272615,hsa-mir-1249
419,0.045325344362574564,hsa-mir-552
478,0.045261397940145366,hsa-mir-874
202,0.04508622237666049,hsa-mir-3065
142,0.04478366790173493,hsa-mir-1976
457,0.04463519661494664,hsa-mir-656
205,0.04454912967298171,hsa-mir-30b
390,0.044036540968781485,hsa-mir-518b
450,0.04391844570148408,hsa-mir-642a
44,0.0437146866155284,hsa-mir-126
391,0.043468405691689097,hsa-mir-518c
78,0.04323461975831831,hsa-mir-135a-1
158,0.04288561286451801,hsa-mir-20b
317,0.04243153371656649,hsa-mir-3909
420,0.04242091255348878,hsa-mir-556
140,0.04228840251808927,hsa-mir-196b
453,0.041938814521580436,hsa-mir-652
99,0.04174839496937901,hsa-mir-150
169,0.041358172871201346,hsa-mir-217
288,0.041227681229558936,hsa-mir-3667
150,0.04096221208644293,hsa-mir-200b
365,0.040837594963275055,hsa-mir-496
294,0.04056226316913792,hsa-mir-3684
240,0.040166258848476195,hsa-mir-320d-2
381,0.04016588447181532,hsa-mir-512-1
305,0.039977269241068675,hsa-mir-376a-1
167,0.03923670092185691,hsa-mir-215
192,0.03820732846310123,hsa-mir-27b
162,0.03819956181956407,hsa-mir-2114
436,0.03811304064189262,hsa-mir-605
462,0.0380533877709326,hsa-mir-664
211,0.037611197439527025,hsa-mir-3117
320,0.0374520669028617,hsa-mir-3917
398,0.03739343821508555,hsa-mir-525
168,0.037196859910676866,hsa-mir-216a
243,0.03712268200527524,hsa-mir-323b
459,0.03689429392227844,hsa-mir-659
362,0.036453792677300256,hsa-mir-493
128,0.0363080548435309,hsa-mir-190
389,0.03620364143805963,hsa-mir-517b
388,0.03615926672947057,hsa-mir-517a
442,0.03587782236296613,hsa-mir-625
449,0.03465117283681414,hsa-mir-641
444,0.034266665470008534,hsa-mir-628
6,0.03413922446105271,hsa-let-7e
239,0.0339521728116998,hsa-mir-320d-1
238,0.0337295014390959,hsa-mir-320c-2
136,0.03344695898225035,hsa-mir-194-2
138,0.03337145102506002,hsa-mir-196a-1
382,0.03313254951590205,hsa-mir-512-2
58,0.03273268012671561,hsa-mir-1284
330,0.03268542259335066,hsa-mir-409
392,0.03197486824947881,hsa-mir-518f
454,0.03179828190621538,hsa-mir-653
413,0.03165512743047372,hsa-mir-548t
79,0.03124228203143739,hsa-mir-135a-2
235,0.030785172663573588,hsa-mir-320a
31,0.030606680883098526,hsa-mir-1228
261,0.030091268112167054,hsa-mir-34a
448,0.02985784923378632,hsa-mir-639
218,0.029853829365944277,hsa-mir-3157
402,0.028554568437802227,hsa-mir-541
414,0.028274834100708773,hsa-mir-548v
313,0.02823035362839566,hsa-mir-380
361,0.027918194916729148,hsa-mir-491
336,0.02790335455497672,hsa-mir-424
283,0.02725048409689185,hsa-mir-3653
440,0.027149943877166554,hsa-mir-618
156,0.026827385013771635,hsa-mir-206
135,0.026809810495593382,hsa-mir-194-1
418,0.026569042656857587,hsa-mir-551b
443,0.026397716019138765,hsa-mir-627
139,0.026254607739145924,hsa-mir-196a-2
214,0.025922941165245298,hsa-mir-3130-1
323,0.025846892959176634,hsa-mir-3926-2
470,0.025808327693165288,hsa-mir-708
465,0.02564133217430457,hsa-mir-675
226,0.024927212954041024,hsa-mir-3188
262,0.024352300038187755,hsa-mir-34b
198,0.0242202268745961,hsa-mir-29b-2
265,0.02405428646475756,hsa-mir-3607
208,0.023351162303766024,hsa-mir-30d
253,0.02291978264370097,hsa-mir-338
229,0.022248018677842974,hsa-mir-3193
411,0.021847476835758693,hsa-mir-548q
173,0.021431915664429497,hsa-mir-219-2
333,0.02083958378607932,hsa-mir-412
458,0.020788441471629525,hsa-mir-658
102,0.020383606486973082,hsa-mir-153-1
367,0.0203819909116991,hsa-mir-499
63,0.020218535242134766,hsa-mir-1291
27,0.01932611637325497,hsa-mir-1185-1
197,0.01928040210766947,hsa-mir-29b-1
347,0.019001779724936715,hsa-mir-450a-2
188,0.01889748495121282,hsa-mir-26a-1
284,0.018852197148642995,hsa-mir-3654
260,0.018069413608529334,hsa-mir-346
224,0.01764231745565856,hsa-mir-3178
145,0.017603383464816467,hsa-mir-199b
403,0.017316735034554664,hsa-mir-542
143,0.0172966337407572,hsa-mir-199a-1
319,0.017233735402700446,hsa-mir-3913-1
428,0.0171732709387708,hsa-mir-581
26,0.017145775969013212,hsa-mir-1181
437,0.01628989090415362,hsa-mir-607
318,0.016263643061501267,hsa-mir-3912
81,0.015782759641927768,hsa-mir-136
498,0.015660744112027693,hsa-mir-95
190,0.015391265489531604,hsa-mir-26b
28,0.015190868356850424,hsa-mir-1185-2
384,0.01509028060988973,hsa-mir-514-2
103,0.015027346998939211,hsa-mir-153-2
346,0.015008196722479876,hsa-mir-450a-1
446,0.014588753810065077,hsa-mir-632
144,0.014512875148695372,hsa-mir-199a-2
219,0.014423086080912972,hsa-mir-3158-2
174,0.01423649741535476,hsa-mir-22
266,0.012657744108915346,hsa-mir-3609
348,0.011789360495952906,hsa-mir-450b
101,0.010941674718973728,hsa-mir-152
338,0.010656458219803575,hsa-mir-4286
76,0.010493697412955758,hsa-mir-133b
241,0.010041766293533847,hsa-mir-320e
441,0.009813681331370132,hsa-mir-624
166,0.009744271703642908,hsa-mir-214
285,0.00966843995099144,hsa-mir-3655
276,0.008611832575282348,hsa-mir-363
385,0.00831101073751148,hsa-mir-514-3
213,0.008001235064931637,hsa-mir-3129
8,0.007454636851155816,hsa-let-7f-2
65,0.006686612204902711,hsa-mir-1294
300,0.006388335706782406,hsa-mir-372
360,0.006384809618074533,hsa-mir-489
375,0.006288400409916565,hsa-mir-508
7,0.006195417239537405,hsa-let-7f-1
383,0.0059463692747769815,hsa-mir-514-1
53,0.004657385296799311,hsa-mir-1275
24,0.004137449974013358,hsa-mir-1179
33,0.003921913297015619,hsa-mir-1245
303,0.002161838446564267,hsa-mir-374c
184,0.0015262422454107732,hsa-mir-23c
