feature_index,score,feature_name
727,0.5411870248939733,RAET1L|154064
644,0.5408202657962524,PAK1IP1|55003
411,0.540689431606832,GSTP1|2950
669,0.54048367991775,PHGDH|26227
795,0.540190221659449,SERPINA11|256394
676,0.5400437271228904,PLOD1|5351
487,0.5391984749664647,KLHDC1|122773
831,0.5381209026425123,SLC6A2|6530
178,0.5378250636820695,CDCA2|157313
581,0.5376434736465217,MSL3|10943
130,0.5374894835430514,C9orf116|138162
162,0.5372715822956111,CCNA2|890
56,0.5367539954367747,ATP6V1C2|245973
379,0.5366890730264953,GDF5|8200
353,0.5357612807538533,FGFBP1|9982
756,0.5348584428455923,RIPK2|8767
743,0.5336204891281211,REEP5|7905
649,0.533588200011873,PCBD2|84105
454,0.533365994102701,KCMF1|56888
135,0.5305386483109182,C9orf53|51198
757,0.5297007462591081,RLBP1|6017
88,0.529384576182231,C11orf86|254439
975,0.5293563784783598,WWP1|11059
997,0.5289848985517108,ZNF695|57116
808,0.5287793474133007,SKA1|220134
783,0.5271033047545052,SCRG1|11341
137,0.5263728347872388,C9orf98|158067
674,0.5257220000855751,PLK1|5347
551,0.5245554482875582,MCCC2|64087
98,0.5243807583692391,C16orf57|79650
254,0.523564582323029,CYP4Z2P|163720
332,0.5234572139828788,FAM19A4|151647
444,0.5228753997615309,INGX|27160
110,0.5217840807775718,C20orf26|26074
677,0.521456838169369,PM20D2|135293
709,0.5214210842992401,PSMG1|8624
91,0.5212524160266304,C12orf72|254013
886,0.5209806152787062,TCF19|6941
978,0.5209580411143608,XPO5|57510
590,0.5201556669310187,NASP|4678
643,0.5194352237783652,P4HTM|54681
362,0.5193462532350531,FOXM1|2305
260,0.5187186125504367,DDN|23109
728,0.5185347791802265,RAI2|10742
680,0.5183825566539625,PNPLA4|8228
3,0.5175214345952481,ABCA13|154664
917,0.5171869538662898,TPRG1|285386
628,0.5169164125914818,NUDT5|11164
439,0.5168492495235916,IL12RB2|3595
909,0.516719927328136,TMEM39B|55116
458,0.515349110639492,KCNK15|60598
228,0.5135661500271438,CPEB2|132864
107,0.5134956212648057,C1orf135|79000
602,0.5127849933709812,NDC80|10403
302,0.5126520799658124,ENPP1|5167
404,0.5126414768909838,GPR81|27198
939,0.5125147843335344,TTK|7272
751,0.512481025455671,RGS22|26166
804,0.5112574338714233,SH3GL3|6457
993,0.5110376720811852,ZNF442|79973
639,0.5107230457610431,ORC1L|4998
752,0.5105902573629593,RHCG|51458
522,0.5100755484391131,LOC84740|84740
738,0.5093294061063677,RBM28|55131
958,0.5092319791103898,ULBP3|79465
862,0.5084497452915809,STK38|11329
637,0.508429902807629,OLAH|55301
599,0.5080555344685483,NCK2|8440
212,0.5078946097045366,CLCN4|1183
987,0.507797063345864,ZIC1|7545
253,0.5074319707471142,CYP4B1|1580
68,0.5066792995392004,BCAM|4059
172,0.5065893056566853,CDC20|991
568,0.5058357202466339,MID1|4281
845,0.5056895290015557,SOX8|30812
564,0.5049227530025372,MFI2|4241
8,0.5048915885399567,ABLIM3|22885
374,0.5048907952529074,GAL|51083
45,0.5027976665139673,ARL9|132946
967,0.5024039438510782,WDR19|57728
340,0.5018998992513612,FAM83D|81610
398,0.5016870245964992,GPN1|11321
273,0.5013200634327438,DNAJC12|56521
998,0.5001788007171809,ZNF703|80139
397,0.49911378939610257,GPM6B|2824
37,0.49910241181736287,ANP32E|81611
884,0.4990503418937739,TCEAL1|9338
467,0.49904742108070405,KIAA0141|9812
872,0.4989593724132065,SYT9|143425
589,0.4984234405411654,MYRIP|25924
330,0.49807855025916103,FAM198B|51313
498,0.4977265860433007,KRT6C|286887
563,0.49693373937598245,MFGE8|4240
506,0.49685630924248536,LDHB|3945
103,0.4968226074468696,C1QL2|165257
179,0.4959273011379191,CDCA3|83461
195,0.4948926795930691,CEP55|55165
336,0.4947746322487592,FAM64A|54478
149,0.4940095086361919,CBX2|84733
905,0.4939051475183911,TMEM144|55314
420,0.4931534157362362,HHAT|55733
597,0.49237354053982174,NCAPG|64151
207,0.49187352107184695,CHST3|9469
271,0.4915161006554699,DNAH7|56171
60,0.49124960371451903,AURKB|9212
575,0.4912484468366992,MPP6|51678
519,0.49112013628738704,LOC284578|284578
815,0.4910694155122912,SLC22A16|85413
345,0.49104730463211477,FBN3|84467
502,0.49057568073524005,LANCL3|347404
672,0.4905141113191584,PI3|5266
778,0.48984285199846717,SCHIP1|29970
723,0.4897134698375045,RAD51AP1|10635
272,0.48950361971819767,DNAJB11|51726
805,0.4892798185985624,SHC4|399694
994,0.4892143248039511,ZNF454|285676
887,0.4882312327074334,TCF7L1|83439
422,0.48817203888783517,HJURP|55355
180,0.4879547555394743,CDCA5|113130
843,0.48721543791827215,SOX10|6663
236,0.4870742562208102,CSRP2|1466
883,0.48707209825859227,TCAM1P|146771
134,0.48630748551598263,C9orf40|55071
526,0.486105210973669,LPO|4025
730,0.48596671743078756,RALGPS2|55103
475,0.4858378763596427,KIF13B|23303
668,0.48538720458852613,PHF15|23338
889,0.484650841574887,TENC1|23371
516,0.4843686194553193,LOC100130148|100130148
534,0.4843624384485816,LY6D|8581
565,0.48418358991139426,MGC3771|81854
339,0.4831562203044666,FAM72D|728833
375,0.4831541590732434,GAMT|2593
635,0.4828838926645581,ODC1|4953
950,0.4827277787644746,UBE2T|29089
