projection_1,projection_2,projection_method,subtype_id,subtype,Luminal marker score,Basal/proliferation score,HER2-enriched subtype signature
-0.079024255,-5.092124,PCA,0,Luminal A,0.5182884258248549,-0.6205312120971914,-0.2996039396550771
-7.695792,1.5965853,PCA,3,Basal-like,0.8173088564297412,0.2950249216986106,-0.2803676090667988
0.30961975,-4.7898464,PCA,1,Luminal B,-0.060300921466955676,-0.938111219824919,-0.2847307122403867
0.60423446,-4.7367225,PCA,4,Normal-like,-0.13741859180429933,-0.41001413710223444,-0.25107325102278655
-3.356043,-4.8899693,PCA,3,Basal-like,0.15957973610120849,0.4163758820513156,-0.27263393349140774
-1.6351798,-5.6227064,PCA,3,Basal-like,-0.9060742788291752,-1.4392142815115339,-0.7833478374081146
9.534993,5.1757283,PCA,2,HER2-enriched,-1.2409857602651388,0.6620666292170888,2.291119998453478
-4.6697097,-4.825035,PCA,3,Basal-like,0.2604924007918212,-0.49112757642090554,0.19388128995854645
2.1382968,-4.2536526,PCA,0,Luminal A,0.2466679175541758,-0.6458112902904161,-0.15480558408629044
-2.4439478,6.9431663,PCA,2,HER2-enriched,-0.5246847550505044,0.45159342725745333,1.3739863270027763
-6.0791497,-2.9805124,PCA,3,Basal-like,0.5226934027108256,-0.4069604988560613,-0.5908736056749314
-5.7693872,10.8028145,PCA,4,Normal-like,0.08796649876330798,1.128791205483073,-0.23009443766981363
-7.1345124,3.5251966,PCA,3,Basal-like,0.6383840847237191,-0.07069566773001648,-0.4144666792406152
-0.49277312,-5.5095105,PCA,3,Basal-like,0.01104954822856157,-0.7629671571402011,-0.3445575895618431
17.137932,0.5311799,PCA,1,Luminal B,-2.369367182613671,0.7136704588590096,-0.021966143072213284
19.85209,2.05617,PCA,1,Luminal B,-1.5422974470156356,1.2476773577637554,0.8171010562358557
-5.9193687,-2.5287147,PCA,3,Basal-like,0.8116014387948342,0.20545127308006733,-0.10328339765667854
20.474215,1.1165557,PCA,1,Luminal B,-2.8878260835442298,1.4297232842030414,1.7459590868713994
20.001415,1.2132535,PCA,1,Luminal B,-1.276960242754652,1.6083999723400906,1.298678543324103
-6.354267,9.303406,PCA,4,Normal-like,0.7706419217913573,0.13904914133215723,-0.08054501572362813
-7.8702483,1.5889125,PCA,3,Basal-like,0.8066057749702801,-0.7491851707397033,-1.429204887982311
-5.3656425,-3.8120465,PCA,3,Basal-like,0.30228701581377,0.09791368936523508,-0.41199564106775566
-5.7307434,2.2375636,PCA,4,Normal-like,0.6763715432667804,0.48420834186601563,0.08056550003226491
-6.140913,11.947002,PCA,4,Normal-like,0.3321233522056715,0.2789499835911529,-0.33294712680945715
-6.0618415,-3.1879191,PCA,3,Basal-like,0.8143973481053307,0.03737071769655348,-0.6282468330990121
-7.1482906,9.904955,PCA,4,Normal-like,0.6728563041530263,0.22885316170629624,-0.018140044473382883
-5.368186,-3.68847,PCA,3,Basal-like,0.5100025441817161,-0.4368985379317686,0.2556868848678556
10.215795,6.3037305,PCA,2,HER2-enriched,-1.0460038943974004,0.17118953801932765,1.6636574787050784
-3.3007388,-1.744113,PCA,3,Basal-like,0.6384377938312644,-0.6172256300573078,-0.0033585318079535735
-6.3467298,-2.349306,PCA,3,Basal-like,0.5316621532740514,0.1278798545074167,-0.23417244454902933
0.11448121,-4.954634,PCA,3,Basal-like,-0.005732558219915002,-0.25038245211083815,-0.11228125433597637
-3.3581676,-4.2594533,PCA,3,Basal-like,0.6019612642396274,0.13262083683215276,-0.30780350060600686
-4.653075,-4.169262,PCA,3,Basal-like,0.33774156568161356,0.29857384234918694,-0.39004137056517724
-0.012800813,-5.328796,PCA,3,Basal-like,0.17366454261413156,-0.8680778363140917,-0.26117851108826334
22.876253,1.8257885,PCA,1,Luminal B,-1.4673519615653168,1.471756877003486,1.0470872456754245
2.6487472,-3.6818929,PCA,0,Luminal A,-0.3878529655535574,-1.4305693181609718,-0.6306235991259315
2.8721972,5.533468,PCA,2,HER2-enriched,-0.6458264772141867,0.6544883875127343,1.1519587338461008
-7.247281,-0.6933217,PCA,3,Basal-like,1.1956453288779498,-1.0246216085254731,-0.9347908919227009
-5.387848,-4.337325,PCA,3,Basal-like,-0.029165112441817242,-0.6220913835280822,0.10306223161910502
-8.743923,2.2731342,PCA,3,Basal-like,0.6936969519168287,-0.023546078889285976,-0.5817326348128056
-0.102843195,-5.293984,PCA,3,Basal-like,0.06443235760587061,-0.9028594136769849,-0.24143887135137823
-4.719508,-4.7755775,PCA,3,Basal-like,0.3708146246429398,0.03087075147950774,-0.4527646773789508
-6.433073,6.6974483,PCA,4,Normal-like,0.32224319382899624,0.39013169418924,-0.2681238237966723
-6.0559435,-3.335068,PCA,3,Basal-like,0.6435038886777561,-0.15692950842469733,-0.4905611373772447
0.78517723,-4.921999,PCA,3,Basal-like,0.35623665680130095,-0.4230468690911179,-0.09853156117345326
-6.6812625,4.31673,PCA,3,Basal-like,0.24624241459592788,0.28514420682682795,-0.5415661137840578
-6.1222825,-2.42853,PCA,3,Basal-like,0.4100266162786011,0.04072441571012306,-0.41664806676486077
-6.238587,7.941831,PCA,4,Normal-like,0.6235946180833801,0.02482476581398045,-0.471750513619385
-5.001854,-4.1417174,PCA,3,Basal-like,0.9206995296251769,0.14669959217493128,-0.6552465937526477
-4.905152,-3.5667582,PCA,3,Basal-like,0.36584083460726974,0.21574110800026502,-0.7016370857659737
-7.5218453,10.760286,PCA,3,Basal-like,0.917883210206921,0.26773792863588025,-0.19054273133972555
9.824011,5.944594,PCA,2,HER2-enriched,-0.8966772449909858,0.5668856905171937,1.8495420205939543
-1.767139,-5.880859,PCA,3,Basal-like,0.1035669019856686,-0.7250393338841509,0.21155302106055213
-4.977528,7.78608,PCA,4,Normal-like,0.22308542458824554,0.16128806518987718,-0.30931111614545836
-7.6137743,-0.57750463,PCA,3,Basal-like,0.7764624743322585,-0.07964492707383536,-0.8919661549520749
-6.5449777,-1.7235725,PCA,3,Basal-like,0.7641678790870964,0.3051542184884444,-0.3331982275385701
-5.215226,-4.0597663,PCA,3,Basal-like,0.5246157524262806,-0.2974915945220641,-0.23606044320697034
-7.671603,4.2330127,PCA,3,Basal-like,0.8714675252926942,-0.36194421624350004,-0.6948357860096593
-7.833719,1.1556082,PCA,3,Basal-like,0.9796837037359517,-0.2415577968758201,-0.7719630226072286
22.72788,3.0044131,PCA,1,Luminal B,-1.8043407514916574,1.035544382030646,0.7961589203693096
-4.050726,-4.9506264,PCA,3,Basal-like,0.4377635326892826,0.46406982871152175,-0.31757291704624385
0.40884843,-4.9905396,PCA,4,Normal-like,-0.38030477600807355,-0.2986106176363857,0.15004105326478878
-5.5222883,2.5890803,PCA,3,Basal-like,0.6380051598160674,-0.654827612747034,-0.6528394367599987
-6.010887,1.0913482,PCA,3,Basal-like,0.5110673434744873,-0.3767389798565358,0.12210843279311667
-5.7499037,-2.501109,PCA,3,Basal-like,0.7908242096323593,-0.24807382538165662,-0.5707368687111778
23.163559,2.040073,PCA,1,Luminal B,-1.5280072788051837,1.1401039353182618,1.283831325086021
2.7661347,-3.6332488,PCA,0,Luminal A,-0.057335544955898356,-1.1972526584675283,-0.5011509813681496
14.834842,-0.30617952,PCA,1,Luminal B,-1.9399730587404171,0.9742687635503469,0.801597497554493
10.928955,-2.4041162,PCA,0,Luminal A,-0.9727524340356758,0.1394740517703167,0.5649302763288252
-4.583466,6.8914704,PCA,4,Normal-like,0.39964509528860837,0.14673098067508503,0.08307502435059416
-4.589927,-3.299944,PCA,3,Basal-like,0.811869260708051,-0.007018226241759323,0.17204666638045746
2.0061772,-4.296824,PCA,3,Basal-like,-0.48491024427527263,-0.709247462864147,-0.23763116241496499
3.9636974,-4.231375,PCA,1,Luminal B,-0.0040275836762778865,-0.9492484364951923,-0.04006717063217556
0.6232877,-4.730325,PCA,0,Luminal A,0.28061222877154257,-1.133828194003136,-0.2723236331000678
-5.518856,-1.8488846,PCA,3,Basal-like,0.3190259347903435,0.4029723005431955,0.05754541384012879
22.20826,1.5395169,PCA,1,Luminal B,-2.3327576370191743,1.5348477957073472,0.8242190330767492
-6.95307,12.844681,PCA,4,Normal-like,0.6426575291835247,0.7391863457042991,-0.14613452499498497
-5.558935,-2.8807971,PCA,3,Basal-like,0.08778343842390902,0.23453339951883956,-0.3923545714323792
-3.6468616,-3.917707,PCA,3,Basal-like,0.5177344772118394,-0.43414779951989413,-0.3406014551086774
2.0605528,-4.1047573,PCA,2,HER2-enriched,-0.08408263131177873,-0.7357841302353971,-0.06131438620078307
21.385458,1.5913076,PCA,1,Luminal B,-2.3480859897675654,1.9718847691567132,0.856383662385508
-7.287867,-0.21931887,PCA,3,Basal-like,1.1191220252859566,-0.79544037722006,-0.9240802063388922
1.9586154,-3.882872,PCA,2,HER2-enriched,-0.23080874777272686,-1.182186166992748,-0.3733008639072946
-3.3168755,-5.1952314,PCA,3,Basal-like,0.20823542430442413,-0.25139678411802224,-0.3324969378029945
-0.95138156,-4.4519405,PCA,3,Basal-like,-1.0106943184238346,-1.1968818867367994,-0.6220641839901025
-7.0460434,3.4942822,PCA,4,Normal-like,0.5606710111191265,-0.20579633929121458,-0.2509037578686813
1.6428959,-4.1707134,PCA,0,Luminal A,0.19386638038981063,-1.1507640672375676,-0.2841604229893292
-2.2470295,-6.1724815,PCA,3,Basal-like,0.4564057122635081,-0.1808212575688262,0.5644094926295677
-5.380083,-2.7443264,PCA,3,Basal-like,0.4616800599267943,0.2764829197941642,0.03306657814438775
34.477562,6.2481217,PCA,1,Luminal B,-1.7017435332245998,1.6944686922277785,1.0876720780035316
16.286104,-0.16145372,PCA,1,Luminal B,-1.0240129264025322,0.7989370492078334,0.771568589844605
23.022476,2.4783516,PCA,1,Luminal B,-1.3943752170488912,1.135083055864519,1.1709364985955748
16.916872,-0.4349332,PCA,1,Luminal B,-1.983294602890827,0.8934928087327964,0.8433060439403288
-7.297542,7.3643966,PCA,4,Normal-like,0.45398194493084637,0.5513674675148332,-0.6683594179482378
-4.425748,-4.0444813,PCA,3,Basal-like,0.4379727344860868,-0.30525244029135956,-0.5321737907526974
-5.495327,9.546873,PCA,4,Normal-like,-0.049772531423614576,0.47053569644182897,0.346442189409322
-2.3582091,-5.529747,PCA,3,Basal-like,-1.3404833310215827,-1.4053640529219285,-0.9112561305974461
-6.6596065,10.849377,PCA,4,Normal-like,-0.07527509673947867,0.8971965335278251,-0.6050665439315052
-3.7068923,-4.045937,PCA,3,Basal-like,-0.21107308051153342,-0.127492874632101,-0.14959042810203058
-1.8726736,-5.086546,PCA,3,Basal-like,-1.477636505016149,-0.8631199084053038,-0.7669947332505922
-5.2100625,1.4887381,PCA,4,Normal-like,0.38574697129035185,1.0766258450888468,0.23215847120860536
0.37281927,-4.9113536,PCA,3,Basal-like,-1.3066001830605756,-1.783697736943116,-0.9877457280590627
-4.99536,-4.10927,PCA,3,Basal-like,0.5008841971725756,0.26866881771162415,-0.47816813767983696
-6.7495008,7.4229665,PCA,4,Normal-like,0.8859100053373994,-0.30470231094730477,-0.4483572154144005
0.64595497,-4.857644,PCA,3,Basal-like,0.2333401972017138,-0.9863199897207219,0.0023925182815196858
2.5563884,-4.0937576,PCA,0,Luminal A,0.02430050693044362,-0.5665258936720567,-0.0574368055020899
